MONTH,DAY,YEAR,HH,MM,SS,mmm,CH1,CH2,CH3,CH4,CH5,CH6,LUX
08,23,2016,23,06,57,142,1,0,0,0,0,0,0.0
08,23,2016,23,06,58,147,1,0,0,0,0,0,0.0
08,23,2016,23,06,59,146,1,0,0,0,0,0,0.0
08,23,2016,23,07,00,145,1,0,0,0,0,0,0.0
08,23,2016,23,07,01,146,1,0,0,0,0,0,0.0
08,23,2016,23,07,02,149,1,0,0,0,0,0,0.0
08,23,2016,23,07,03,148,1,0,0,0,0,0,0.0
08,23,2016,23,07,04,150,1,0,0,0,0,0,0.0
08,23,2016,23,07,05,150,1,0,0,0,0,0,0.0
08,23,2016,23,07,06,148,1,0,0,0,0,0,0.0
08,23,2016,23,07,07,148,1,0,0,0,0,0,0.0
08,23,2016,23,07,08,147,1,0,0,0,0,0,0.0
08,23,2016,23,07,09,146,1,0,0,0,0,0,0.0
08,23,2016,23,07,10,145,1,0,0,0,0,0,0.0
08,23,2016,23,07,11,143,1,0,0,0,0,0,0.0
08,23,2016,23,07,12,144,1,0,0,0,0,0,0.0
08,23,2016,23,07,13,145,1,0,0,0,0,0,0.0
08,23,2016,23,07,14,144,1,0,0,0,0,0,0.0
08,23,2016,23,07,14,202,1,0,0,0,0,0,0.0
08,23,2016,23,07,15,141,1,0,0,0,0,0,0.0
08,23,2016,23,07,15,203,1,0,0,0,0,0,0.0
08,23,2016,23,07,16,211,1,0,0,0,0,0,0.0
08,23,2016,23,07,17,211,1,0,0,0,0,0,0.0
08,23,2016,23,07,18,207,1,0,0,0,0,0,0.0
08,23,2016,23,07,20,217,1,0,0,0,0,0,0.0
08,23,2016,23,07,22,213,1,0,0,0,0,0,0.0
08,23,2016,23,07,22,392,1,0,0,0,0,0,0.0
08,23,2016,23,07,23,154,1,0,0,0,0,0,0.0
08,23,2016,23,07,24,152,1,0,0,0,0,0,0.0
08,23,2016,23,07,25,155,1,0,0,0,0,0,0.0
08,23,2016,23,07,26,157,1,0,0,0,0,0,0.0
08,23,2016,23,07,27,157,1,0,0,0,0,0,0.0
08,23,2016,23,07,28,158,1,0,0,0,0,0,0.0
08,23,2016,23,07,29,159,1,0,0,0,0,0,0.0
08,23,2016,23,07,30,157,1,0,0,0,0,0,0.0
08,23,2016,23,07,31,155,1,0,0,0,0,0,0.0
08,23,2016,23,07,32,155,1,0,0,0,0,0,0.0
08,23,2016,23,07,33,155,1,0,0,0,0,0,0.0
08,23,2016,23,07,34,154,1,0,0,0,0,0,0.0
08,23,2016,23,07,35,155,1,0,0,0,0,0,0.0
08,23,2016,23,07,36,156,1,0,0,0,0,0,0.0
08,23,2016,23,07,37,152,1,0,0,0,0,0,0.0
08,23,2016,23,07,38,207,1,0,0,0,0,0,0.0
08,23,2016,23,07,40,210,1,0,0,0,0,0,0.0
08,23,2016,23,07,42,153,1,0,0,0,0,0,0.0
08,23,2016,23,07,43,156,1,0,0,0,0,0,0.0
08,23,2016,23,07,44,158,1,0,0,0,0,0,0.0
08,23,2016,23,07,45,160,1,0,0,0,0,0,0.0
08,23,2016,23,07,46,161,1,0,0,0,0,0,0.0
08,23,2016,23,07,47,164,1,0,0,0,0,0,0.0
08,23,2016,23,07,48,167,1,0,0,0,0,0,0.0
08,23,2016,23,07,49,171,1,0,0,0,0,0,0.0
08,23,2016,23,07,50,171,1,0,0,0,0,0,0.0
08,23,2016,23,07,51,173,1,0,0,0,0,0,0.0
08,23,2016,23,07,52,174,1,0,0,0,0,0,0.0
08,23,2016,23,07,53,174,1,0,0,0,0,0,0.0
08,23,2016,23,07,54,174,1,0,0,0,0,0,0.0
08,23,2016,23,07,55,173,1,0,0,0,0,0,0.0
08,23,2016,23,07,56,172,1,0,0,0,0,0,0.0
08,23,2016,23,07,57,170,1,0,0,0,0,0,0.0
08,23,2016,23,07,58,170,1,0,0,0,0,0,0.0
08,23,2016,23,07,59,170,1,0,0,0,0,0,0.0
08,23,2016,23,08,00,170,1,0,0,0,0,0,0.0
08,23,2016,23,08,01,173,1,0,0,0,0,0,0.0
08,23,2016,23,08,02,173,1,0,0,0,0,0,0.0
08,23,2016,23,08,03,175,1,0,0,0,0,0,0.0
08,23,2016,23,08,04,175,1,0,0,0,0,0,0.0
08,23,2016,23,08,05,173,1,0,0,0,0,0,0.0
08,23,2016,23,08,06,173,1,0,0,0,0,0,0.0
08,23,2016,23,08,07,173,1,0,0,0,0,0,0.0
08,23,2016,23,08,08,171,1,0,0,0,0,0,0.0
08,23,2016,23,08,09,171,1,0,0,0,0,0,0.0
08,23,2016,23,08,10,170,1,0,0,0,0,0,0.0
08,23,2016,23,08,11,169,1,0,0,0,0,0,0.0
08,23,2016,23,08,11,284,1,0,0,0,0,0,0.0
08,23,2016,23,08,12,170,1,0,0,0,0,0,0.0
08,23,2016,23,08,12,289,1,0,0,0,0,0,0.0
08,23,2016,23,08,13,168,1,0,0,0,0,0,0.0
08,23,2016,23,08,14,168,1,0,0,0,0,0,0.0
08,23,2016,23,08,15,238,1,0,0,0,0,0,0.0
08,23,2016,23,08,16,242,1,0,0,0,0,0,0.0
08,23,2016,23,08,16,418,1,0,0,0,0,0,0.0
08,23,2016,23,08,17,238,1,0,0,0,0,0,0.0
08,23,2016,23,08,17,417,1,0,0,0,0,0,0.0
08,23,2016,23,08,18,240,1,0,0,0,0,0,0.0
08,23,2016,23,08,18,362,1,0,0,0,0,0,0.0
08,23,2016,23,08,22,237,1,0,0,0,0,0,0.0
08,23,2016,23,08,23,180,1,0,0,0,0,0,0.0
08,23,2016,23,08,24,178,1,0,0,0,0,0,0.0
08,23,2016,23,08,25,181,1,0,0,0,0,0,0.0
08,23,2016,23,08,26,181,1,0,0,0,0,0,0.0
08,23,2016,23,08,27,183,1,0,0,0,0,0,0.0
08,23,2016,23,08,28,184,1,0,0,0,0,0,0.0
08,23,2016,23,08,29,186,1,0,0,0,0,0,0.0
08,23,2016,23,08,30,182,1,0,0,0,0,0,0.0
08,23,2016,23,08,31,181,1,0,0,0,0,0,0.0
08,23,2016,23,08,32,181,1,0,0,0,0,0,0.0
08,23,2016,23,08,33,180,1,0,0,0,0,0,0.0
08,23,2016,23,08,34,181,1,0,0,0,0,0,0.0
08,23,2016,23,08,35,180,1,0,0,0,0,0,0.0
08,23,2016,23,08,36,179,1,0,0,0,0,0,0.0
08,23,2016,23,08,37,177,1,0,0,0,0,0,0.0
08,23,2016,23,08,38,231,1,0,0,0,0,0,0.0
08,23,2016,23,08,39,234,1,0,0,0,0,0,0.0
08,23,2016,23,08,42,176,1,0,0,0,0,0,0.0
08,23,2016,23,08,43,180,1,0,0,0,0,0,0.0
08,23,2016,23,08,44,182,1,0,0,0,0,0,0.0
08,23,2016,23,08,45,185,1,0,0,0,0,0,0.0
08,23,2016,23,08,46,188,1,0,0,0,0,0,0.0
08,23,2016,23,08,47,189,1,0,0,0,0,0,0.0
08,23,2016,23,08,48,193,1,0,0,0,0,0,0.0
08,23,2016,23,08,49,196,1,0,0,0,0,0,0.0
08,23,2016,23,08,50,196,1,0,0,0,0,0,0.0
08,23,2016,23,08,51,200,1,0,0,0,0,0,0.0
08,23,2016,23,08,52,201,1,0,0,0,0,0,0.0
08,23,2016,23,08,53,200,1,0,0,0,0,0,0.0
08,23,2016,23,08,54,199,1,0,0,0,0,0,0.0
08,23,2016,23,08,55,197,1,0,0,0,0,0,0.0
08,23,2016,23,08,56,195,1,0,0,0,0,0,0.0
08,23,2016,23,08,57,195,1,0,0,0,0,0,0.0
08,23,2016,23,08,58,196,1,0,0,0,0,0,0.0
08,23,2016,23,08,59,196,1,0,0,0,0,0,0.0
08,23,2016,23,09,00,197,1,0,0,0,0,0,0.0
08,23,2016,23,09,01,200,1,0,0,0,0,0,0.0
08,23,2016,23,09,02,198,1,0,0,0,0,0,0.0
08,23,2016,23,09,03,201,1,0,0,0,0,0,0.0
08,23,2016,23,09,04,199,1,0,0,0,0,0,0.0
08,23,2016,23,09,05,200,1,0,0,0,0,0,0.0
08,23,2016,23,09,06,198,1,0,0,0,0,0,0.0
08,23,2016,23,09,07,197,1,0,0,0,0,0,0.0
08,23,2016,23,09,08,197,1,0,0,0,0,0,0.0
08,23,2016,23,09,09,196,1,0,0,0,0,0,0.0
08,23,2016,23,09,10,196,1,0,0,0,0,0,0.0
08,23,2016,23,09,11,194,1,0,0,0,0,0,0.0
08,23,2016,23,09,12,192,1,0,0,0,0,0,0.0
08,23,2016,23,09,12,313,1,0,0,0,0,0,0.0
08,23,2016,23,09,13,195,1,0,0,0,0,0,0.0
08,23,2016,23,09,13,252,1,0,0,0,0,0,0.0
08,23,2016,23,09,14,194,1,0,0,0,0,0,0.0
08,23,2016,23,09,14,256,1,0,0,0,0,0,0.0
08,23,2016,23,09,15,193,1,0,0,0,0,0,0.0
08,23,2016,23,09,15,255,1,0,0,0,0,0,0.0
08,23,2016,23,09,16,261,1,0,0,0,0,0,0.0
08,23,2016,23,09,17,261,1,0,0,0,0,0,0.0
08,23,2016,23,09,18,264,1,0,0,0,0,0,0.0
08,23,2016,23,09,18,441,1,0,0,0,0,0,0.0
08,23,2016,23,09,20,267,1,0,0,0,0,0,0.0
08,23,2016,23,09,23,205,1,0,0,0,0,0,0.0
08,23,2016,23,09,24,203,1,0,0,0,0,0,0.0
08,23,2016,23,09,25,205,1,0,0,0,0,0,0.0
08,23,2016,23,09,26,208,1,0,0,0,0,0,0.0
08,23,2016,23,09,27,208,1,0,0,0,0,0,0.0
08,23,2016,23,09,28,209,1,0,0,0,0,0,0.0
08,23,2016,23,09,29,210,1,0,0,0,0,0,0.0
08,23,2016,23,09,30,208,1,0,0,0,0,0,0.0
08,23,2016,23,09,31,205,1,0,0,0,0,0,0.0
08,23,2016,23,09,32,205,1,0,0,0,0,0,0.0
08,23,2016,23,09,33,205,1,0,0,0,0,0,0.0
08,23,2016,23,09,34,206,1,0,0,0,0,0,0.0
08,23,2016,23,09,35,207,1,0,0,0,0,0,0.0
08,23,2016,23,09,36,206,1,0,0,0,0,0,0.0
08,23,2016,23,09,37,204,1,0,0,0,0,0,0.0
08,23,2016,23,09,38,254,1,0,0,0,0,0,0.0
08,23,2016,23,09,39,260,1,0,0,0,0,0,0.0
08,23,2016,23,09,40,259,1,0,0,0,0,0,0.0
08,23,2016,23,09,42,204,1,0,0,0,0,0,0.0
08,23,2016,23,09,43,208,1,0,0,0,0,0,0.0
08,23,2016,23,09,44,210,1,0,0,0,0,0,0.0
08,23,2016,23,09,45,210,1,0,0,0,0,0,0.0
08,23,2016,23,09,46,212,1,0,0,0,0,0,0.0
08,23,2016,23,09,47,215,1,0,0,0,0,0,0.0
08,23,2016,23,09,48,218,1,0,0,0,0,0,0.0
08,23,2016,23,09,49,221,1,0,0,0,0,0,0.0
08,23,2016,23,09,50,223,1,0,0,0,0,0,0.0
08,23,2016,23,09,51,222,1,0,0,0,0,0,0.0
08,23,2016,23,09,52,225,1,0,0,0,0,0,0.0
08,23,2016,23,09,53,225,1,0,0,0,0,0,0.0
08,23,2016,23,09,54,226,1,0,0,0,0,0,0.0
08,23,2016,23,09,55,224,1,0,0,0,0,0,0.0
08,23,2016,23,09,56,223,1,0,0,0,0,0,0.0
08,23,2016,23,09,57,221,1,0,0,0,0,0,0.0
08,23,2016,23,09,58,222,1,0,0,0,0,0,0.0
08,23,2016,23,09,59,222,1,0,0,0,0,0,0.0
08,23,2016,23,10,00,221,1,0,0,0,0,0,0.0
08,23,2016,23,10,01,224,1,0,0,0,0,0,0.0
08,23,2016,23,10,02,224,1,0,0,0,0,0,0.0
08,23,2016,23,10,03,226,1,0,0,0,0,0,0.0
08,23,2016,23,10,04,227,1,0,0,0,0,0,0.0
08,23,2016,23,10,05,226,1,0,0,0,0,0,0.0
08,23,2016,23,10,06,225,1,0,0,0,0,0,0.0
08,23,2016,23,10,07,222,1,0,0,0,0,0,0.0
08,23,2016,23,10,08,223,1,0,0,0,0,0,0.0
08,23,2016,23,10,09,223,1,0,0,0,0,0,0.0
08,23,2016,23,10,10,225,1,0,0,0,0,0,0.0
08,23,2016,23,10,10,341,1,0,0,0,0,0,0.0
08,23,2016,23,10,11,222,1,0,0,0,0,0,0.0
08,23,2016,23,10,12,220,1,0,0,0,0,0,0.0
08,23,2016,23,10,13,289,1,0,0,0,0,0,0.0
08,23,2016,23,10,14,220,1,0,0,0,0,0,0.0
08,23,2016,23,10,15,222,1,0,0,0,0,0,0.0
08,23,2016,23,10,16,292,1,0,0,0,0,0,0.0
08,23,2016,23,10,17,291,1,0,0,0,0,0,0.0
08,23,2016,23,10,18,290,1,0,0,0,0,0,0.0
08,23,2016,23,10,18,461,1,0,0,0,0,0,0.0
08,23,2016,23,10,19,287,1,0,0,0,0,0,0.0
08,23,2016,23,10,19,517,1,0,0,0,0,0,0.0
08,23,2016,23,10,22,289,1,0,0,0,0,0,0.0
08,23,2016,23,10,23,230,1,0,0,0,0,0,0.0
08,23,2016,23,10,24,229,1,0,0,0,0,0,0.0
08,23,2016,23,10,25,229,1,0,0,0,0,0,0.0
08,23,2016,23,10,26,231,1,0,0,0,0,0,0.0
08,23,2016,23,10,27,233,1,0,0,0,0,0,0.0
08,23,2016,23,10,28,236,1,0,0,0,0,0,0.0
08,23,2016,23,10,29,236,1,0,0,0,0,0,0.0
08,23,2016,23,10,30,236,1,0,0,0,0,0,0.0
08,23,2016,23,10,31,233,1,0,0,0,0,0,0.0
08,23,2016,23,10,32,231,1,0,0,0,0,0,0.0
08,23,2016,23,10,33,232,1,0,0,0,0,0,0.0
08,23,2016,23,10,34,230,1,0,0,0,0,0,0.0
08,23,2016,23,10,35,232,1,0,0,0,0,0,0.0
08,23,2016,23,10,36,232,1,0,0,0,0,0,0.0
08,23,2016,23,10,37,229,1,0,0,0,0,0,0.0
08,23,2016,23,10,38,284,1,0,0,0,0,0,0.0
08,23,2016,23,10,39,285,1,0,0,0,0,0,0.0
08,23,2016,23,10,40,288,1,0,0,0,0,0,0.0
08,23,2016,23,10,42,228,1,0,0,0,0,0,0.0
08,23,2016,23,10,43,232,1,0,0,0,0,0,0.0
08,23,2016,23,10,44,234,1,0,0,0,0,0,0.0
08,23,2016,23,10,45,236,1,0,0,0,0,0,0.0
08,23,2016,23,10,46,237,1,0,0,0,0,0,0.0
08,23,2016,23,10,47,241,1,0,0,0,0,0,0.0
08,23,2016,23,10,48,243,1,0,0,0,0,0,0.0
08,23,2016,23,10,49,247,1,0,0,0,0,0,0.0
08,23,2016,23,10,50,249,1,0,0,0,0,0,0.0
08,23,2016,23,10,51,250,1,0,0,0,0,0,0.0
08,23,2016,23,10,52,251,1,0,0,0,0,0,0.0
08,23,2016,23,10,53,251,1,0,0,0,0,0,0.0
08,23,2016,23,10,54,250,1,0,0,0,0,0,0.0
08,23,2016,23,10,55,248,1,0,0,0,0,0,0.0
08,23,2016,23,10,56,247,1,0,0,0,0,0,0.0
08,23,2016,23,10,57,248,1,0,0,0,0,0,0.0
08,23,2016,23,10,58,246,1,0,0,0,0,0,0.0
08,23,2016,23,10,59,248,1,0,0,0,0,0,0.0
08,23,2016,23,11,00,248,1,0,0,0,0,0,0.0
08,23,2016,23,11,01,248,1,0,0,0,0,0,0.0
08,23,2016,23,11,02,250,1,0,0,0,0,0,0.0
08,23,2016,23,11,03,252,1,0,0,0,0,0,0.0
08,23,2016,23,11,04,251,1,0,0,0,0,0,0.0
08,23,2016,23,11,05,250,1,0,0,0,0,0,0.0
08,23,2016,23,11,06,250,1,0,0,0,0,0,0.0
08,23,2016,23,11,07,249,1,0,0,0,0,0,0.0
08,23,2016,23,11,08,247,1,0,0,0,0,0,0.0
08,23,2016,23,11,09,248,1,0,0,0,0,0,0.0
08,23,2016,23,11,10,246,1,0,0,0,0,0,0.0
08,23,2016,23,11,11,247,1,0,0,0,0,0,0.0
08,23,2016,23,11,12,248,1,0,0,0,0,0,0.0
08,23,2016,23,11,12,311,1,0,0,0,0,0,0.0
08,23,2016,23,11,12,487,1,0,0,0,0,0,0.0
08,23,2016,23,11,13,247,1,0,0,0,0,0,0.0
08,23,2016,23,11,13,309,1,0,0,0,0,0,0.0
08,23,2016,23,11,13,485,1,0,0,0,0,0,0.0
08,23,2016,23,11,14,248,1,0,0,0,0,0,0.0
08,23,2016,23,11,14,310,1,0,0,0,0,0,0.0
08,23,2016,23,11,14,481,1,0,0,0,0,0,0.0
08,23,2016,23,11,15,316,1,0,0,0,0,0,0.0
08,23,2016,23,11,16,317,1,0,0,0,0,0,0.0
08,23,2016,23,11,16,436,1,0,0,0,0,0,0.0
08,23,2016,23,11,17,317,1,0,0,0,0,0,0.0
08,23,2016,23,11,18,316,1,0,0,0,0,0,0.0
08,23,2016,23,11,18,496,1,0,0,0,0,0,0.0
08,23,2016,23,11,19,312,1,0,0,0,0,0,0.0
08,23,2016,23,11,20,317,1,0,0,0,0,0,0.0
08,23,2016,23,11,20,491,1,0,0,0,0,0,0.0
08,23,2016,23,11,22,316,1,0,0,0,0,0,0.0
08,23,2016,23,11,23,254,1,0,0,0,0,0,0.0
